goodProb,PlacePlurality,Pairwise,Borda,Kemedy,Pruned
0.55,,,,5.6,
0.6,,,,3.98,
0.65,,,,2.88,
0.7,,,,1.78,
0.75,,,,1.04,
0.8,,,,0.34,
0.85,,,,0.08,
0.9,,,,0.02,
