goodProb,PlacePlurality,Pairwise,Borda,Kemedy,Pruned
0.55,,,,3.7,
0.6,,,,2.96,
0.65,,,,2,
0.7,,,,1.06,
0.75,,,,0.46,
0.8,,,,0.2,
0.85,,,,0.02,
0.9,,,,0,
