goodProb,PlacePlurality,Pairwise,Borda,Kemedy,Pruned
0.55,2.7,2.42,2.48,2.74,2.56
0.6,2.64,2.34,2.02,2.34,2.18
0.65,2.08,1.6,1.4,1.64,1.84
0.7,1.4,0.88,0.76,0.86,0.3
0.75,0.48,0.54,0.42,0.5,0.06
0.8,0.12,0.22,0.24,0.06,0
0.85,0,0.26,0.04,0.02,0
0.9,0,0.12,0.06,0,0
