goodProb,PlacePlurality,Pairwise,Borda,Kemedy,Pruned
0.55,,,,7.74,
0.6,,,,5.04,
0.65,,,,3.4,
0.7,,,,2.76,
0.75,,,,1.2,
0.8,,,,0.56,
0.85,,,,0.08,
0.9,,,,0.02,
