goodProb,PlacePlurality,Pairwise,Borda,Kemedy,Pruned
0.55,,,,5.34,
0.6,,,,3.72,
0.65,,,,2.36,
0.7,,,,1.38,
0.75,,,,0.82,
0.8,,,,0.22,
0.85,,,,0.14,
0.9,,,,0.02,
